Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
3/5/2015,210.46,200.63,81.21,126.41,43.11,99.11,573.75,387.83,122.72,108.64,126.29,29.30,102.52,42.40,97.23,86.74,104.73,48.92,34.00,115.91,83.57,62.00,53.56,190.08,66.81,2.98,33.73,29.28,114.79,122.51,154.47,115.91,16.00,46.81,86.10
3/6/2015,207.50,193.88,80.01,126.60,42.36,97.13,566.13,380.09,121.17,107.41,123.50,28.93,100.11,41.52,96.17,85.63,103.55,48.29,33.48,114.45,82.59,60.89,53.06,186.91,64.87,2.92,33.19,28.50,112.88,120.57,153.12,114.45,16.22,46.11,84.40
3/9/2015,208.36,190.88,79.44,127.14,42.85,97.71,567.29,378.56,121.70,107.72,124.64,29.36,100.66,41.39,96.04,85.16,103.95,48.23,33.35,115.25,82.88,61.50,52.95,187.93,63.66,2.93,32.72,28.66,114.90,122.01,154.75,115.25,16.17,46.52,82.53
3/10/2015,204.98,190.32,77.55,124.51,42.03,96.29,553.49,369.51,120.30,105.72,126.28,28.66,99.53,40.69,94.43,84.26,102.91,47.51,32.78,112.56,82.07,59.96,51.23,182.71,62.15,2.92,31.70,27.61,112.46,119.81,152.42,112.56,15.79,46.09,82.97
3/11/2015,204.50,193.74,77.57,122.24,41.98,94.96,549.67,366.37,121.04,105.11,127.20,28.26,98.32,40.10,93.63,84.02,103.54,47.68,32.62,113.07,80.69,60.24,52.33,184.18,62.88,2.84,32.33,27.88,112.72,120.45,151.17,113.07,16.11,45.71,81.99
3/12/2015,207.10,191.07,78.93,124.45,41.02,96.25,553.99,374.24,123.05,105.80,127.11,28.24,99.83,40.57,95.71,84.22,102.42,48.73,33.13,116.10,81.90,61.37,54.08,189.95,64.05,2.76,30.80,28.02,114.88,122.75,152.04,116.10,16.09,46.69,81.92
3/13/2015,205.83,188.68,78.05,123.59,41.38,96.35,545.82,370.58,122.61,105.34,126.72,27.94,99.21,39.91,94.32,83.87,101.62,48.84,32.76,114.82,81.90,61.00,53.54,189.34,62.63,2.75,30.93,28.72,115.25,122.89,151.57,114.82,16.09,46.65,81.86
3/16/2015,208.58,195.70,78.07,124.95,41.56,97.15,552.99,373.35,123.33,106.70,127.94,28.30,101.06,40.29,95.45,84.76,103.13,49.27,33.06,116.50,83.29,61.85,53.69,191.90,60.28,2.76,30.83,28.51,118.52,125.01,153.67,116.50,16.13,47.03,84.00
3/17/2015,207.96,194.73,79.36,127.04,41.70,96.17,549.33,371.92,123.66,106.87,129.00,28.15,99.89,40.51,94.13,84.08,103.17,48.95,32.90,115.58,82.62,61.61,53.84,190.57,59.79,2.77,30.59,27.66,117.60,124.85,154.51,115.58,16.09,47.20,84.50
3/18/2015,210.46,200.71,80.91,128.47,42.50,97.00,557.97,375.14,124.65,107.92,131.49,28.15,101.46,40.60,94.64,86.07,106.70,49.54,33.59,116.08,82.53,61.75,53.72,192.32,60.45,2.75,30.89,28.16,119.96,127.49,155.73,116.08,15.98,47.92,84.59
